time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1700784000,38432.07,37262.39,37299.18,34951.5,1322597274.57,37737.05,direct,""
1700870400,37907.84,37616.03,37737.05,8271.55,312424824.64,37801.92,direct,""
1700956800,37829.46,37159.52,37801.92,12751.26,478214999.45,37460.21,direct,""
1701043200,37568.17,36727.3,37460.21,24674.21,914744666.52,37246.29,direct,""
1701129600,38410.41,36879.99,37246.29,33506.06,1265755538.49,37836.63,direct,""
1701216000,38456.97,37589.12,37836.63,27433.75,1041457987.13,37861.9,direct,""
1701302400,38149.78,37505.7,37861.9,16874.61,637264648.28,37729.58,direct,""
1701388800,38982.35,37626.12,37729.58,32942.59,1268612412.23,38699.84,direct,""
1701475200,39712.52,38659.45,38699.84,17299.38,677167721.21,39469.35,direct,""
1701561600,40203.23,39288.91,39469.35,16087.63,638707315.07,39980.93,direct,""
1701648000,42399.42,39980.36,39980.93,48574.89,2012390115.57,41984.41,direct,""
1701734400,44639.18,41368.51,41984.41,52083.86,2234743414.43,44089.06,direct,""
1701820800,44286.67,43386.17,44089.06,39080.76,1715623988.73,43771.01,direct,""
1701907200,44050.53,42856.57,43771.01,30381.14,1320509439.92,43285.02,direct,""
1701993600,44735.52,43094.02,43285.02,29502.75,1292562850.41,44186.18,direct,""
1702080000,44373.02,43597.57,44186.18,15066.31,662982186.27,43723,direct,""
1702166400,44047.82,43584.51,43723,11497.59,503801762.3,43791.67,direct,""
1702252800,43808.9,40180.77,43791.67,58689.61,2446801856.72,41235.58,direct,""
1702339200,42080.61,40648.18,41235.58,31480.37,1305859570.88,41472.94,direct,""
1702425600,43461.75,40579.83,41472.94,36203.68,1517574126.2,42887.55,direct,""
1702512000,43416.91,41433.23,42887.55,34166.34,1460749070.58,43030.6,direct,""
1702598400,43091.28,41662.1,43030.6,25157.34,1065004798.33,41939.16,direct,""
1702684800,42678.86,41640.84,41939.16,13495.73,570286280.98,42243.26,direct,""
1702771200,42372.05,41228.17,42243.26,18460.88,772939037.53,41349.42,direct,""
1702857600,42744.41,40512.69,41349.42,32860.71,1362661202.35,42650.27,direct,""
1702944000,43454.44,41796.54,42650.27,30940.15,1318306822.38,42268.08,direct,""
1703030400,44303.12,42195.52,42268.08,41481.09,1805958609.9,43669.91,direct,""
1703116800,44245.16,43306.15,43669.91,29872.95,1306652594.38,43875.01,direct,""
1703203200,44417.78,43426.51,43875.01,24740.39,1084076406.5,44008.04,direct,""
1703289600,44024.62,43338.34,44008.04,10973.31,479555333.8,43732.75,direct,""
1703376000,43965.2,42635.13,43732.75,14281.15,621424795.87,43023.12,direct,""
