time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1696636800,24.18,23.11,23.43,739403.07,17404929.6,23.31,direct,""
1696723200,23.64,23.09,23.31,440585.97,10295141.16,23.24,direct,""
1696809600,23.37,21.65,23.24,1136882.41,25496746.65,22.1,direct,""
1696896000,22.48,21.71,22.1,774347.69,17074119.8,22.11,direct,""
1696982400,22.4,21.61,22.11,1142643.46,25221990.12,22.01,direct,""
1697068800,22.03,20.96,22.01,916509.56,19583055.27,21.29,direct,""
1697155200,22.19,21.11,21.29,870966.29,18821343.42,21.84,direct,""
1697241600,22.23,21.81,21.84,396634.65,8730327.7,22,direct,""
1697328000,22.17,21.67,22,529238.23,11587038.61,21.94,direct,""
1697414400,24.79,21.91,21.94,2541698.47,59575012.95,23.97,direct,""
1697500800,24.55,23.49,23.97,1674379.25,40260870.09,23.95,direct,""
1697587200,24.41,23.36,23.95,1420938.64,33897231.35,23.42,direct,""
1697673600,25.62,23.15,23.42,2406067.46,59242355.89,24.94,direct,""
1697760000,27.43,24.75,24.94,3468950.93,92114809.85,27.04,direct,""
1697846400,30.27,26.67,27.04,2991552.15,86353042.15,29.33,direct,""
1697932800,30.01,28.1,29.33,1608197.72,46532806.5,29.05,direct,""
1698019200,32.73,28.76,29.05,4378223.71,132600620.07,31.92,direct,""
1698105600,32.58,29.53,31.92,4102788.47,128051981.3,30.18,direct,""
1698192000,33.87,30.01,30.18,3634002.55,117811341.25,32.44,direct,""
1698278400,33.26,30.73,32.44,3602522.13,115265505.83,32.77,direct,""
1698364800,33.34,31.31,32.77,2602715.95,84040760.73,31.74,direct,""
1698451200,32.51,31.41,31.74,895214.24,28597328.1,31.65,direct,""
1698537600,33.16,31.31,31.65,1709954.89,55670650.67,32.84,direct,""
1698624000,35.31,32.47,32.84,2933481.31,100384070,34.95,direct,""
1698710400,38.6,34.85,34.95,4650049.16,169712692.65,38.43,direct,""
1698796800,46.84,37.95,38.43,8116786.07,334965726.75,41.17,direct,""
1698883200,44.56,38.67,41.17,4749394.27,197689376.99,40.25,direct,""
1698969600,40.25,38.05,40.25,3296064.46,129114847.09,39.48,direct,""
1699056000,42.75,39.02,39.48,2287886.52,94716495.59,42.44,direct,""
1699142400,42.86,40.3,42.44,2111833.09,87552035.77,41.2,direct,""
1699228800,42.21,39.7,41.2,2754587.45,112100517.99,42.17,direct,""
1699315200,44.74,40.12,42.17,4781663.11,203308997.07,42.95,direct,""
1699401600,43.87,42.28,42.95,2380040.47,102557463.03,43.13,direct,""
1699488000,48.87,42.53,43.13,6781704.76,309437660.84,45.31,direct,""
1699574400,57.63,45.08,45.31,7278326.54,371407805.39,56.72,direct,""
1699660800,63.93,53.63,56.72,7115870.27,415819053.43,56.34,direct,""
1699747200,61.88,54.54,56.34,5073260.37,292290056.31,56.3,direct,""
1699833600,59.83,51.6,56.3,5403756.91,301609244.17,51.61,direct,""
1699920000,57.93,51.31,51.61,5262722.34,288902544.79,56.83,direct,""
1700006400,67.14,56.16,56.83,5620312.18,348592966.36,65.5,direct,""
1700092800,68.16,56.39,65.5,6712799.49,418696390.74,57.78,direct,""
1700179200,60.54,54.13,57.78,4487250.02,259607985.44,58.54,direct,""
1700265600,59.38,54.74,58.54,2839537.88,163809263.96,58.58,direct,""
1700352000,62.18,56.67,58.58,3337724.11,200925705.62,61.13,direct,""
1700438400,61.34,56.04,61.13,3374622.1,198524500.57,56.6,direct,""
1700524800,57.39,51.31,56.6,3993313.41,218119382.59,51.66,direct,""
1700611200,58.93,51.49,51.66,3451493.22,192027796.52,57.58,direct,""
1700697600,59.56,56.16,57.58,2295819.29,132106603.86,56.46,direct,""
1700784000,58.76,56.19,56.46,2232457.82,128511879.05,56.86,direct,""
1700870400,59.76,55.91,56.86,2067644.77,121055670.65,58.83,direct,""
1700956800,59.06,56.18,58.83,1776284.86,102471353.5,57.57,direct,""
1701043200,58.05,53.5,57.57,2500264.88,138158993.79,55.07,direct,""
1701129600,58.7,53.95,55.07,2347668.64,133449361.42,58.21,direct,""
1701216000,61.79,57.75,58.21,3214181.98,192338149.07,59.29,direct,""
1701302400,61.69,58.77,59.29,1684249.99,101024323.81,59.28,direct,""
1701388800,61.89,58.64,59.28,1933755.73,116934396.27,59.78,direct,""
1701475200,63.92,59.7,59.78,1942632.97,120751779.39,63.71,direct,""
1701561600,65.54,62.27,63.71,2599233.83,165325950.81,63,direct,""
1701648000,65.24,59.47,63,3982968.5,248450635.97,61.58,direct,""
1701734400,62.56,59.14,61.58,2436850.56,148106810.76,61.01,direct,""
1701820800,66.61,61.01,61.01,3825390.72,243125138.39,61.86,direct,""
1701907200,69.41,61.65,61.86,4060250.22,266641722.61,67.78,direct,""
1701993600,75.3,67.78,67.78,4191094.5,302233341.73,74.94,direct,""
1702080000,77.75,71.63,74.94,3662524.57,274764488.15,72.25,direct,""
1702166400,74.87,70.67,72.25,2448216.03,178843239.76,74.81,direct,""
